state,operator,total_data,validity,cost,type,internet,facebook,twitter,whatsapp
Madhya Pradesh/Chhattisgarh,Airtel,500,14,98,Internet,500,NA,NA,NA
Madhya Pradesh/Chhattisgarh,Airtel,500,14,98,Internet,500,NA,NA,NA
Mumbai,Idea,500,14,98,Internet,500,NA,NA,NA
Mumbai,Airtel,500,14,98,Internet,500,NA,NA,NA
Mumbai,Airtel,500,14,98,Internet,500,NA,NA,NA
North East,Airtel,500,14,98,Internet,500,NA,NA,NA
Punjab,Airtel,500,14,98,Internet,500,NA,NA,NA
Punjab,Airtel,500,14,98,Internet,500,NA,NA,NA
Rajasthan,Airtel,500,14,98,Internet,500,NA,NA,NA
Rajasthan,Airtel,500,14,98,Internet,500,NA,NA,NA
Tamil Nadu,Airtel,500,14,98,Internet,500,NA,NA,NA
Tamil Nadu,Airtel,500,14,98,Internet,500,NA,NA,NA
UP East,Airtel,500,14,98,Internet,500,NA,NA,NA
UP East,Airtel,500,14,98,Internet,500,NA,NA,NA
UP West/Uttarakhand,Idea,500,14,98,Internet,500,NA,NA,NA
UP West/Uttarakhand,Airtel,500,14,98,Internet,500,NA,NA,NA
UP West/Uttarakhand,Airtel,500,14,98,Internet,500,NA,NA,NA
West Bengal,Idea,500,14,98,Internet,500,NA,NA,NA
West Bengal,Airtel,500,14,98,Internet,500,NA,NA,NA
West Bengal,Airtel,500,14,98,Internet,500,NA,NA,NA
Mumbai,Idea,200,15,36,FB,NA,200,NA,NA
Andhra Pradesh,Idea,500,14,96,Internet,500,NA,NA,NA
Assam,Reliance,1000,21,127,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Mumbai,Reliance,1000,21,127,Unlimited-FB/Unlimited-TW/Unlimited-WA,NA,NA,NA,NA
North East,Reliance,1000,21,127,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Rajasthan,Idea,500,14,95,Internet,500,NA,NA,NA
Bihar/Jharkhand,Reliance,1000,21,125,Unlimited-FB/Unlimited-TW/Unlimited-WA,NA,NA,NA,NA
Jammu and Kashmir,Reliance,1000,21,125,Unlimited-FB/Unlimited-TW/Unlimited-WA,NA,NA,NA,NA
Kolkata,Reliance,1000,21,125,Unlimited-FB/Unlimited-TW/Unlimited-WA,NA,NA,NA,NA
Mumbai,Idea,175,15,28,FB,NA,175,NA,NA
UP West/Uttarakhand,Airtel,150,15,24,FB,NA,150,NA,NA
Maharashtra/Goa,Idea,200,15,31,FB,NA,200,NA,NA
UP East,Idea,200,15,31,FB,NA,200,NA,NA
Orissa,Idea,300,12,58,Internet,300,NA,NA,NA
Kerala,Airtel,375,11,76,Internet,375,NA,NA,NA
